month,products_added
2021-01,66028
2021-02,60387
2021-03,65560
2021-04,63990
2021-05,66201
2021-06,64613
2021-07,66228
2021-08,66804
2021-09,64339
2021-10,66270
2021-11,64425
2021-12,66627
2022-01,66424
2022-02,59927
2022-03,66679
2022-04,64527
2022-05,66670
2022-06,64004
2022-07,66652
2022-08,66589
2022-09,64348
2022-10,66438
2022-11,64850
2022-12,66439
2023-01,66517
2023-02,60415
2023-03,66501
2023-04,64494
2023-05,66496
2023-06,64247
2023-07,66325
2023-08,66494
2023-09,64052
2023-10,66266
2023-11,63849
2023-12,66371
2024-01,66288
2024-02,62285
2024-03,66840
2024-04,64336
2024-05,66293
2024-06,63824
2024-07,66296
2024-08,66563
2024-09,64352
2024-10,66635
2024-11,64051
2024-12,66584
2025-01,66529
2025-02,59537
2025-03,66380
2025-04,64447
2025-05,66435
2025-06,63891
2025-07,66677
2025-08,66542
2025-09,64618
2025-10,66527
2025-11,64023
2025-12,66399
2026-01,65850
2026-02,59672
2026-03,66461
2026-04,64451
2026-05,65977
2026-06,49162
